#Table1
bestObjID,ra,dec,z,class,z1,velDisp,velDispErr,survey
1237655123930514144,173.13498,3.7528288,0.6542529,GALAXY,0.6542529,246.9206,45.54728,boss
1237654604257755589,173.24881,3.9012081,0.7544454,GALAXY,0.7544454,850,-3,boss
1237654604257690250,173.16786,4.0544715,0.5123487,GALAXY,0.5123487,241.9226,33.75347,boss
1237655124467450428,173.27413,4.1939004,0.6458294,GALAXY,0.6458294,217.7831,33.81938,boss
1237655124467449888,173.18599,4.1362617,0.06206259,GALAXY,0.06206259,158.3334,3.971498,boss
1237655124467450249,173.16867,4.2301216,0.4438851,GALAXY,0.4438851,95.96806,28.21163,boss
1237654604257689937,173.14534,3.9746685,0.358219,GALAXY,0.358219,262.5425,21.40384,boss
1237654604794561456,173.21328,4.3040863,0.5715571,GALAXY,0.5715571,175.3033,32.04168,boss
1237654604794560743,173.20206,4.3252343,0.3187597,GALAXY,0.3187597,222.3221,17.75095,boss
1237654604794626469,173.24196,4.2907452,0.5620684,GALAXY,0.5620684,200.0787,43.53842,boss
1237654604257689733,173.10942,3.9516579,0.09147139,GALAXY,0.09147139,180.1182,4.812215,boss
1237654604794561063,173.11446,4.3078293,0.5595431,GALAXY,0.5595431,161.1413,25.95713,boss
1237654030866055780,172.95669,3.0792642,0.585705,GALAXY,0.585705,286.9331,31.91395,boss
1237654030866121193,173.0762,3.1078738,0.5820814,GALAXY,0.5820814,137.5108,47.13023,boss
1237651754544136368,173.01347,3.0043223,0.3101041,GALAXY,0.3101041,211.8313,12.93925,boss
1237651755081007622,173.01499,3.3890768,0.5215312,GALAXY,0.5215312,62.03465,36.38243,boss
1237651755081007448,172.94241,3.3682641,0.5236594,GALAXY,0.5236594,216.5659,40.3675,boss
1237654031402992497,173.10999,3.5313479,0.5870767,GALAXY,0.5870767,227.9588,31.58271,boss
1237654030866055779,172.9549,3.254172,0.4650706,GALAXY,0.4650706,202.1733,30.04728,boss
1237651755081007679,173.04389,3.4902688,0.5186436,GALAXY,0.5186436,203.481,17.85093,boss
1237651755081073025,173.1209,3.373965,0.3017957,GALAXY,0.3017957,214.1353,16.29053,boss
1237655123930579513,173.13919,3.6773589,0.6496097,GALAXY,0.6496097,528.3636,85.49307,boss
1237651754544071098,172.83204,3.0102356,0.4663049,GALAXY,0.4663049,211.0281,28.01848,boss
1237654030866055786,172.9572,3.2279256,0.5851223,GALAXY,0.5851223,273.7256,48.16525,boss
1237655123930513882,173.12185,3.6707959,0.346598,GALAXY,0.346598,181.5471,16.06641,boss
1237655123930579306,173.17706,3.674771,0.6562436,GALAXY,0.6562436,269.0397,52.68605,boss
1237654031402992397,173.16183,3.6292678,0.6505887,GALAXY,0.6505887,282.7112,49.57815,boss
1237655123930448481,172.96498,3.7273368,0.5357429,GALAXY,0.5357429,208.8048,33.88758,boss
1237655123930513682,173.02613,3.7888255,0.4734536,GALAXY,0.4734536,234.9254,22.10105,boss
1237654604257559289,172.85224,3.9582635,0.5466192,GALAXY,0.5466192,223.1994,40.48363,boss
1237655124467384845,173.08222,4.1580329,0.3515746,GALAXY,0.3515746,188.8297,23.67126,boss
1237654604257559025,172.87536,3.9630359,0.6545387,GALAXY,0.6545387,850,-3,boss
1237655123930448231,172.92633,3.8185888,0.3491691,GALAXY,0.3491691,204.1181,16.1353,boss
1237655124467384538,172.99985,4.0702942,0.5070413,GALAXY,0.5070413,241.8307,30.09907,boss
1237654604257624488,172.97015,4.0057603,0.6550267,GALAXY,0.6550267,188.2449,35.076,boss
1237654604257624847,172.99367,4.0233101,0.6551273,GALAXY,0.6551273,234.5931,38.74876,boss
1237654599956431107,158.41234,3.2904664,0.4769289,GALAXY,0.4769289,262.4857,38.26645,boss
1237651755074650629,158.38554,3.1322833,0.631474,GALAXY,0.631474,174.593,29.20092,boss
1237654604251267563,158.42457,3.5379148,0.4769019,GALAXY,0.4769019,103.4637,35.71909,boss
1237654604251267346,158.41428,3.507556,0.3141215,GALAXY,0.3141215,192.5826,19.93044,boss
1237654604251202148,158.36791,3.4279928,0.4735863,GALAXY,0.4735863,262.1896,40.37393,boss
1237654604251201705,158.33852,3.4783927,0.1538021,GALAXY,0.1538021,155.6228,8.646659,boss
1237654600493302295,158.41516,3.8259735,0.4679612,GALAXY,0.4679612,227.6308,39.23502,boss
0,158.38196,3.5115833,0.2795883,GALAXY,0.2795883,0,0,boss
1237654600493302231,158.37576,3.7835243,0.5871741,GALAXY,0.5871741,280.6192,34.78672,boss
0,158.38866,3.7167302,0.1455784,GALAXY,0.1455784,508.5133,184.4449,boss
1237654600493302321,158.43381,3.6825449,0.5352867,GALAXY,0.5352867,319.1888,139.3942,boss
1237654600493236396,158.28826,3.8052862,0.2696489,GALAXY,0.2696489,279.7098,17.92949,boss
1237654601030173361,158.33827,4.2343618,0.5983812,GALAXY,0.5983812,237.036,41.00879,boss
1237654601030173121,158.35321,4.1556467,0.3834022,GALAXY,0.3834022,300.9081,33.67488,boss
1237654601030173092,158.33799,4.0844429,0.4319769,GALAXY,0.4319769,231.2018,31.62741,boss
1237654604788138536,158.36941,3.9709953,0.4776233,GALAXY,0.4776233,106.3068,26.46074,boss
1237654604788138632,158.39743,3.9917685,0.4692325,GALAXY,0.4692325,263.8928,47.20709,boss
1237654604788072845,158.31531,3.9296337,0.5747476,GALAXY,0.5747476,148.9555,35.73691,boss
1237654605325009223,158.42328,4.3497846,0.2524752,GALAXY,0.2524752,250.3521,13.26614,boss
1237654601030107659,158.26429,4.1647584,0.356496,GALAXY,0.356496,299.2124,30.25202,boss
1237654605324943981,158.26491,4.465193,0.3734694,GALAXY,0.3734694,200.7774,25.63612,boss
1237654605324943730,158.27754,4.3376832,0.4833827,GALAXY,0.4833827,155.9938,35.9937,boss
1237654601567043843,158.30372,4.5066152,0.2216627,GALAXY,0.2216627,170.1053,15.39191,boss
1237654604251201988,158.28654,3.5388012,0.5386423,GALAXY,0.5386423,207.5324,33.00372,boss
0,158.21526,3.3359693,0.1464095,GALAXY,0.1464095,0,0,boss
1237651755074454217,158.06879,3.0769153,0.7298033,GALAXY,0.7298033,258.5917,82.18648,boss
1237654599956300385,158.13405,3.2125238,0.6513005,GALAXY,0.6513005,339.553,103.1721,boss
1237654604251136653,158.21378,3.4398708,0.1281049,GALAXY,0.1281049,529.4068,131.7419,boss
1237654604788072807,158.24829,3.8857118,0.5823206,GALAXY,0.5823206,269.3038,40.18249,boss
1237654599956300275,158.05965,3.2509749,0.5385672,GALAXY,0.5385672,186.3116,29.61567,boss
1237654604788073347,158.26468,3.8736854,0.5776935,GALAXY,0.5776935,284.1491,84.77007,boss
1237654604251202005,158.30158,3.5117872,0.5346352,GALAXY,0.5346352,236.6667,71.37596,boss
1237654604251136263,158.16064,3.6247629,0.2827534,GALAXY,0.2827534,234.0253,16.89861,boss
1237654600493236630,158.24949,3.6871245,0.5558911,GALAXY,0.5558911,176.9644,65.33334,boss
1237654601030042407,158.11366,4.1237749,0.5794454,GALAXY,0.5794454,224.1035,48.0565,boss
1237654604788007222,158.18689,3.935551,0.3263179,GALAXY,0.3263179,205.6229,18.26455,boss
1237654601030107732,158.14967,4.1511795,0.6669708,GALAXY,0.6669708,295.8511,52.24881,boss
1237654604788007190,158.06326,3.9896676,0.3263172,GALAXY,0.3263172,178.1665,15.67517,boss
1237655123930710344,173.47548,3.8218392,0.5714406,GALAXY,0.5714406,241.6651,31.24071,boss
