# name,# catalog-job 2015-10-28
# SQL,"# SELECT id, ra2000, decl2000, mag_i, redshift
# FROM external_catalog.specz_201510
# WHERE redshift > 0.1
# LIMIT 1000
# ;
# "
#
# id,ra2000,decl2000,mag_i,redshift
509,210.401,-0.439848,19.717,0.5234
510,212.57726,-0.245414,19.404,0.55245
531,177.44359,-1.038231,21.698,0.34099
532,187.78548,-0.946978,19.637,0.20093
541,207.90205,-0.900094,18.534,0.35233
543,219.65214,-0.85229,20.557,0.35767
561,212.52579,-0.335452,19.256,0.53553
562,162.38223,-0.050793,19.878,0.55939
563,213.16504,0.869037,19.647,0.58494
564,212.60474,-0.130638,19.732,0.52635
565,164.73882,-0.151847,19.609,0.53987
566,212.12824,-0.35438,19.253,0.46557
567,221.37109,-0.075591,19.54,2.68838
568,163.50468,0.380186,19.325,0.24543
569,164.86346,-0.181753,19.807,0.54836
570,213.5064,-0.539515,19.146,0.64567
571,196.32746,-0.0534,19.564,0.52302
572,222.49695,-0.829076,19.723,0.5568
573,163.63235,0.341368,18.329,0.39239
574,217.97467,-0.687132,19.662,0.61692
575,210.45707,-0.444997,19.163,0.59614
576,164.89219,-0.127423,19.461,0.54119
577,212.29723,-0.660389,18.444,0.50883
579,165.40581,0.227655,17.402,0.29152
581,143.28145,-0.052592,19.749,0.45761
583,165.48192,0.301769,19.436,2.26252
585,165.47735,0.219275,17.522,0.27005
589,218.87151,-0.957292,19.844,0.64602
590,217.83231,0.939628,21.034,0.92361
591,210.52892,-0.659717,19.434,0.44407
592,213.07272,-0.126326,19.425,0.658
593,165.76242,0.409501,19.936,0.25338
596,197.27242,-0.537011,19.246,0.47487
599,166.79211,0.267406,16.391,0.11205
600,166.79582,0.251081,16.755,0.15546
601,166.73438,0.329133,17.992,0.37448
602,166.75753,0.281723,18.352,0.37823
603,166.91081,0.329815,17.069,0.12025
604,166.87417,0.335506,18.25,0.37456
606,166.98471,0.384872,16.402,0.10168
607,167.00078,0.294843,17.239,0.19856
608,167.00697,0.22201,17.091,0.23928
609,167.01959,0.249915,17.205,0.19971
610,167.02547,0.281542,16.114,0.20346
611,167.0835,0.253661,17.137,0.20253
612,166.96878,0.36209,17.112,0.18415
613,167.06995,0.405161,17.863,0.37445
614,167.11438,0.248604,16.415,0.12697
617,168.29622,0.284775,17.066,0.12419
618,169.15372,0.2435,19.033,1.83624
619,169.05797,0.288233,16.816,0.13928
621,169.38245,0.210782,16.173,0.12625
623,169.43567,0.291328,16.413,0.10255
625,169.50613,0.307456,16.238,0.10044
629,235.13338,0.993533,19.804,0.50628
630,143.16277,-0.538909,19.154,0.47545
631,213.52246,-0.036944,19.242,0.54891
632,213.61903,-0.08853,19.582,0.54821
633,165.06047,-0.138101,19.43,0.49791
634,165.86037,-0.118292,18.503,1.84806
635,146.29109,-0.988937,18.454,0.44974
636,161.97932,-0.550768,18.943,0.56116
637,197.85905,-0.163004,18.697,0.45358
638,193.93602,-1.191091,21.962,3.01739
639,162.37111,-0.937441,20.686,0.80485
640,195.94587,-0.033091,19.241,0.52198
641,197.91015,-0.062177,19.654,0.58909
642,164.85173,-0.867525,19.322,0.47296
643,195.95033,-0.114627,20.184,3.33383
644,193.91924,-1.005738,19.681,0.66762
645,195.95474,1.010123,19.304,0.57684
648,222.7138824,-0.837171,18.099,0.28531
652,120.14517,-0.41743,18.223,0.35676
654,128.90223,-0.500586,18.164,0.3521
655,129.05313,-0.445649,19.029,0.36117
665,142.29049,-0.547765,19.094,0.14958
669,143.878,-0.547024,17.8,0.2719
673,144.3732,-0.581184,16.83,0.22225
674,144.68943,-0.606001,16.689,0.12155
675,144.67396,-0.581764,17.114,0.22159
676,144.9412,-0.489527,16.869,0.1673
677,144.91034,-0.585867,16.748,0.12141
679,144.94998,-0.615235,16.648,0.22145
681,145.09964,-0.479505,15.942,0.15142
683,145.13277,-0.478695,17.768,0.15324
685,146.62052,-0.474443,18.396,0.37052
688,146.84808,-0.48025,19.458,0.24211
689,146.93722,-0.524697,18.262,0.31389
693,147.55886,-0.484712,19.472,0.35939
695,148.37129,-0.469489,18.292,0.35503
701,149.65893,-0.500403,17.382,0.23839
703,149.63093,-0.540108,19.431,0.29394
705,149.74727,-0.43577,18.113,0.32755
708,149.81455,-0.492302,18.511,0.37736
710,151.99476,-0.601749,16.913,0.22272
711,152.26168,-0.536202,17.476,0.2761
715,152.40176,-0.450393,17.908,0.31977
719,152.5331,-0.597784,17.345,0.21524
721,154.36883,-0.545679,17.562,0.31325
725,154.47804,-0.469954,16.853,0.18168
726,154.50901,-0.424364,16.278,0.10787
727,154.58058,-0.478264,17.002,0.14555
731,154.91788,-0.440208,16.473,0.13898
734,154.9546,-0.609366,16.822,0.17598
736,185.85241,0.864881,20.288,2.1899
737,208.09091,0.922877,19.291,0.62037
738,136.05472,-1.049321,19.524,0.88421
739,142.90494,-0.903845,19.051,1.06039
740,157.56481,-0.955783,19.296,0.47988
741,168.08366,-0.858161,18.489,1.5127
742,182.70966,-1.001322,19.165,0.5658
743,183.2338,-0.893156,20.342,2.4595
744,183.19406,-0.934613,18.983,0.44151
745,183.30923,-0.842083,19.364,0.58926
746,183.50207,-0.868932,18.608,0.4415
747,184.43903,-0.865037,18.716,1.29543
748,184.44919,-0.885649,18.856,1.42826
749,187.0436,-1.024689,19.635,0.4823
750,194.59722,-0.890666,19.5,0.55945
751,222.05072,-0.941579,21.21,2.32618
752,150.73767,-0.532312,19.364,0.62964
753,207.97625,0.440491,19.501,0.44857
754,183.14647,1.024164,19.388,0.48507
755,185.57965,0.948926,19.122,0.53028
756,219.59695,1.042164,19.896,0.69794
757,150.64256,-0.994294,19.11,0.48363
758,207.99847,0.433594,19.194,0.49189
766,157.05931,-0.585745,16.999,0.21952
777,172.55766,-0.604492,18.729,0.39919
787,188.09554,-0.549931,19.24,0.25018
